title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_download,reference_url
"Hiroshima or Nagasaki after bombing","","1945","","Atomic bomb; rubble","Japan","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_01","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_001_th.jpg","/ug31_folder167_001.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima001.html"
"Possibly Nautilus reactor","","1945","","Atomic bomb; nuclear reactors","Arco, Idaho","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_02","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_002_th.jpg","/ug31_folder167_002.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima002.html"
"Burns showing close copy of dress patterns","","1945","","Atomic bomb victims--Japan--Hiroshima-shi","Japan","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_03","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_003_th.jpg","/ug31_folder167_003.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima003.html"
"Victim at the Hijiyama Primary School Shelter","","1945","","Atomic bomb victims--Japan","Hiroshima, Japan","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_04","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_004_th.jpg","/ug31_folder167_004.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima004.html"
"Land-based protoytpe of the nuclear reactor for the Nautilus was assembled and tested at Arco, Idaho, in a section of submarine hull immersed in a tank of water 50 feet in diameter and 40 feet high","","1945","","Atomic bomb; nuclear reactors","Arco, Idaho","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_05","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_005_th.jpg","/ug31_folder167_005.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima005.html"
"Victim at the Hijiyama Primary School Shelter","","1945","","Atomic bomb victims--Japan--Hiroshima-shi","Hiroshima, Japan","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_06","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_006_th.jpg","/ug31_folder167_006.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima006.html"
"Victim at the Hijiyama Primary School Shelter","","1945","","Atomic bomb victims--Japan--Hiroshima-shi","Hiroshima, Japan","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_07","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_007_th.jpg","/ug31_folder167_007.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima007.html"
"Victim at the Hijiyama Primary School Shelter","","1945","","Atomic bomb victims--Japan--Hiroshima-shi","Hiroshima, Japan","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_08","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_008_th.jpg","/ug31_folder167_008.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima008.html"
"Through the rubbles near Yamaguchi-cho, 1200 meters from hypcenter","","1945","","Atomic bomb; rubble","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_09","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_009_th.jpg","/ug31_folder167_009.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima009.html"
"Red Cross hospital looking northwest, Hiroshima. Standing buildines were erected after the blast.","","1945","","Atomic bomb; rubble","Hiroshima, Japan","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_10","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_010_th.jpg","/ug31_folder167_010.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima010.html"
